PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5PG,Birmingham East And North PCT,0.34%,4.43%,4.82%,92.56%,90.17%,94.69%,72.74%,92.52%,91.72%,77.45%,84.28%,82.12%,50.34%,21.33%,65.91%,93.05%,41.50%,78.73%,35.71%,44.10%,20.66%
TAP,Blackburn With Darwen Teaching Care Trust Plus,0.38%,4.84%,5.24%,92.41%,89.07%,93.51%,64.46%,92.37%,89.43%,83.37%,82.69%,90.40%,52.04%,21.64%,59.88%,90.33%,36.50%,73.26%,38.89%,45.67%,18.79%
5HP,Blackpool PCT,0.41%,4.67%,5.12%,90.61%,77.40%,92.80%,79.75%,91.36%,88.52%,83.43%,82.45%,91.39%,57.19%,34.06%,63.44%,90.67%,42.82%,76.17%,35.81%,47.12%,19.89%
5HQ,Bolton PCT,0.33%,5.18%,5.57%,93.29%,89.04%,94.95%,64.22%,93.75%,92.92%,79.74%,79.84%,84.43%,41.81%,27.54%,65.03%,92.09%,41.97%,77.71%,39.22%,49.45%,21.90%
5QN,Bournemouth And Poole Teaching PCT,0.46%,3.94%,4.54%,93.45%,90.41%,95.18%,80.30%,93.88%,92.11%,84.05%,84.16%,86.32%,62.88%,20.78%,59.17%,91.21%,32.76%,71.98%,32.20%,40.24%,15.43%
5NY,Bradford And Airedale Teaching PCT,0.32%,4.77%,5.17%,95.90%,93.31%,97.33%,83.15%,94.84%,93.30%,80.28%,79.67%,81.28%,51.21%,22.46%,61.11%,92.21%,39.34%,75.22%,38.39%,46.03%,19.75%
5K5,Brent Teaching PCT,0.29%,5.33%,5.71%,91.27%,89.52%,94.67%,80.98%,91.90%,91.10%,81.22%,84.69%,82.60%,58.31%,18.02%,59.26%,89.81%,40.04%,77.35%,35.10%,43.20%,17.99%
5LQ,Brighton And Hove City PCT,0.42%,2.75%,3.21%,90.16%,87.40%,92.62%,77.54%,68.75%,88.75%,77.98%,81.55%,81.59%,42.20%,20.41%,62.85%,92.56%,40.56%,77.01%,36.07%,42.45%,19.32%
5QJ,Bristol PCT,0.38%,3.29%,3.70%,90.30%,86.92%,92.73%,71.93%,90.84%,89.13%,79.86%,82.30%,82.38%,53.56%,25.21%,60.96%,90.35%,40.63%,78.03%,37.12%,47.32%,19.83%
5A7,Bromley PCT,0.44%,3.57%,4.04%,91.85%,89.32%,94.96%,76.08%,92.20%,91.50%,84.44%,83.31%,85.42%,58.75%,24.54%,65.15%,92.71%,38.30%,77.19%,31.74%,40.54%,17.16%
5QD,Buckinghamshire PCT,0.39%,3.44%,3.87%,93.07%,89.28%,94.62%,76.34%,93.10%,91.17%,85.01%,84.72%,83.26%,57.19%,20.01%,61.43%,92.28%,39.61%,77.44%,33.98%,43.23%,17.65%
5JX,Bury PCT,0.36%,3.83%,4.32%,93.47%,91.61%,95.47%,71.63%,94.27%,92.78%,81.85%,85.08%,88.19%,55.36%,22.44%,66.29%,93.95%,39.98%,77.49%,37.63%,47.42%,21.01%
5J6,Calderdale PCT,0.36%,3.95%,4.34%,94.16%,90.18%,95.64%,83.71%,93.91%,92.67%,81.40%,83.18%,89.17%,61.15%,30.02%,65.31%,92.36%,48.92%,81.55%,37.83%,45.92%,21.78%
5PP,Cambridgeshire PCT,0.47%,3.81%,4.38%,94.53%,91.03%,95.69%,79.34%,94.38%,92.21%,85.22%,87.76%,87.15%,62.02%,18.61%,59.14%,91.71%,37.66%,75.31%,35.97%,44.41%,18.06%
5K7,Camden PCT,0.27%,2.54%,2.84%,91.09%,90.15%,93.86%,77.93%,91.40%,90.60%,46.28%,83.20%,84.44%,34.62%,28.67%,64.30%,91.61%,38.92%,76.71%,41.32%,49.63%,21.78%
5NP,Central And Eastern Cheshire PCT,0.43%,4.12%,4.58%,92.86%,90.12%,95.76%,82.04%,93.82%,91.73%,82.76%,84.67%,85.06%,59.10%,31.88%,68.83%,94.05%,39.14%,75.69%,37.44%,47.27%,21.78%
